Times,Fluxes,FluxErrs,Filt,Freqs
632.899999525398,0.029270237673897862,0.001663061998722665,i,393170436721311.5
22052.9,0.03719000604175412,0.0010419262965911359,i,393170436721311.5
63807.631471473695,0.060759225058432544,0.014889741738714412,i,393170436721311.5
72000.0,0.04471222158720761,0.004313754484288171,i,393170436721311.5
144445.716991648,0.00815200913367904,0.0004672865274012197,i,393170436721311.5
34100.7752,0.042976025523135154,0.0032861709725877683,r,481130569731985.2
51115.0,0.05770670124143244,0.0049873376416744875,r,481130569731985.2
72000.0,0.04377500949065931,0.004223333951809617,r,481130569731985.2
117504.00000005,0.015039252429908431,0.0007087781307925482,r,481130569731985.2
137884.102687798,0.008452070216469768,0.0005574634277308827,r,481130569731985.2
144445.710943476,0.007195155298758943,0.0003320057085230873,r,481130569731985.2
2568.0,0.03795126433935571,0.0017885879850097184,z,328215960148894.2
22052.9,0.03865683102183303,0.002574395005107588,z,328215960148894.2
993.900000303984,0.04961651410768621,0.010035656173678045,g,628495719077568.1
72000.0,0.04525079867726533,0.0043657154304209845,g,628495719077568.1
354240.0,0.15,0.005,radio(6GHz),6000000000.0
343872.0,0.092,0.007,radio(10GHz),10000000000.0
492480.0,0.07,0.005,radio(1.3GHz),1300000000.0
1171802.9,0.058,0.017,radio(1.3GHz),1300000000.0
2051.907,0.000496894891215934,0.000109857607939125,X-ray,2.42e+18
3577.43,8.90766707422589e-05,1.52586832671414e-05,X-ray,2.42e+18
7689.536,5.43420613629362e-05,1.2010424700003e-05,X-ray,2.42e+18
133150.208,8.80809348585672e-06,2.63068041251198e-06,X-ray,2.42e+18
187274.702,5.15439279683819e-06,1.4598333352389e-06,X-ray,2.42e+18
16848.0,0.03908645190689931,0.00790579909614969,VT_B,605000000000000.0
16848.0,0.03048079211051941,0.006165180182925109,VT_R,381000000000000.0
118102.0,0.017833075527182506,0.0008404469568781426,R,468671768303359.2
47047.8976078564,0.07053597444249964,0.009091384549309708,J,240000000000000.0
72000.0,0.06269403888310686,0.006048607780372856,J,240000000000000.0
144461.024479405,0.013201870418366663,0.0013170531773126764,J,240000000000000.0
460800.0,0.0006874264666347986,0.00013904192561493343,J,240000000000000.0
