Times,Freqs,Fluxes,FluxErrs,Filt,Instrument,GCN Number,UL
26265.6,2.42E+18,2.29E-04,9.50E-05,X-ray(10keV),,,N
31795.2,2.42E+18,1.77E-04,5.71E-05,X-ray(10keV),,,N
37324.8,2.42E+18,9.55E-05,3.25E-05,X-ray(10keV),,,N
192153.6,2.42E+18,2.27E-05,5.23E-06,X-ray(10keV),,,N
214012.8,2.42E+18,1.77E-05,4.24E-06,X-ray(10keV),,,N
531792.0,2.42E+18,3.16E-06,5.83E-07,X-ray(10keV),,,N
993859.2,2.42E+18,2.88E-06,6.11E-07,X-ray(10keV),,,N
1421366.0,2.42E+18,9.91E-07,5.38E-07,X-ray(10keV),,,N
25464.9,2.42E+18,1.66E-04,3.72E-05,X-ray(10keV),,,N
25542.6,2.42E+18,2.74E-04,6.00E-05,X-ray(10keV),,,N
25601.8,2.42E+18,2.37E-04,5.34E-05,X-ray(10keV),,,N
25676.6,2.42E+18,1.73E-04,3.80E-05,X-ray(10keV),,,N
25768.4,2.42E+18,2.92E-04,6.55E-05,X-ray(10keV),,,N
25837.5,2.42E+18,3.81E-04,8.58E-05,X-ray(10keV),,,N
25919.3,2.42E+18,4.61E-04,1.01E-04,X-ray(10keV),,,N
25986.7,2.42E+18,3.06E-04,6.88E-05,X-ray(10keV),,,N
26061.9,2.42E+18,9.57E-05,2.09E-05,X-ray(10keV),,,N
26167.2,2.42E+18,8.93E-05,2.01E-05,X-ray(10keV),,,N
26239.1,2.42E+18,1.99E-04,4.47E-05,X-ray(10keV),,,N
26315.4,2.42E+18,2.48E-04,5.59E-05,X-ray(10keV),,,N
26410.5,2.42E+18,2.58E-04,5.79E-05,X-ray(10keV),,,N
26493.5,2.42E+18,4.34E-04,9.74E-05,X-ray(10keV),,,N
26586.3,2.42E+18,3.11E-04,7.00E-05,X-ray(10keV),,,N
26676.3,2.42E+18,2.65E-04,5.97E-05,X-ray(10keV),,,N
26808.7,2.42E+18,2.42E-04,5.45E-05,X-ray(10keV),,,N
26917.4,2.42E+18,2.47E-04,5.43E-05,X-ray(10keV),,,N
27009.4,2.42E+18,2.63E-04,5.91E-05,X-ray(10keV),,,N
27118.1,2.42E+18,1.69E-04,3.11E-05,X-ray(10keV),,,N
31016.8,2.42E+18,2.25E-04,5.05E-05,X-ray(10keV),,,N
31183.0,2.42E+18,1.98E-04,4.43E-05,X-ray(10keV),,,N
31316.5,2.42E+18,3.46E-04,7.80E-05,X-ray(10keV),,,N
31479.1,2.42E+18,4.59E-04,1.03E-04,X-ray(10keV),,,N
31623.8,2.42E+18,3.48E-04,7.82E-05,X-ray(10keV),,,N
31780.2,2.42E+18,1.93E-04,4.33E-05,X-ray(10keV),,,N
31934.8,2.42E+18,2.27E-04,5.09E-05,X-ray(10keV),,,N
32078.0,2.42E+18,1.92E-04,4.30E-05,X-ray(10keV),,,N
32248.9,2.42E+18,2.23E-04,5.00E-05,X-ray(10keV),,,N
32551.6,2.42E+18,1.79E-04,3.91E-05,X-ray(10keV),,,N
36729.3,2.42E+18,8.90E-05,1.99E-05,X-ray(10keV),,,N
36850.5,2.42E+18,5.00E-05,1.12E-05,X-ray(10keV),,,N
37037.5,2.42E+18,7.73E-05,1.74E-05,X-ray(10keV),,,N
37144.6,2.42E+18,1.18E-04,2.64E-05,X-ray(10keV),,,N
